Sno,ID,Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Total Liabilities,Net Assets
188,3107,Ajay Kumar,KHERI,BJP,2,Graduate Professional,26505977,10000000,16505977
189,3312,Ajay Kumar Behera,JAGATSINGHPUR,CPI,0,Post Graduate,5137088,0,5137088
190,7708,Ajay Kumar Bhagat,JALANDHAR,IND,0,12th Pass,76000,0,76000
191,4695,Ajay Kumar Dubey,DHANBAD,INC,0,12th Pass,7484762,0,7484762
192,969,Ajay Kumar Khemka,CHANDNI CHOWK,Kalyankari Jantantrik Party,0,Graduate,4724526,625000,4099526
193,1109,Ajay Kumar Panjabrao Hingankar,AKOLA,AAP,0,Graduate,8035000,700000,7335000
194,2361,Ajay Kumar Sharma,JAIPUR RURAL,Jago Party,0,Graduate,4550119,0,4550119
195,495,Ajay Maken,NEW DELHI,INC,1,Post Graduate,61098675,500000,60598675
196,4281,Ajay Pal Singh,ETAWAH,BSP,1,Post Graduate,150110000,0,150110000
197,5367,Ajay Pali,BILASPUR,IND,0,Literate,480000,179344,300656
198,1528,Ajay Pratap Singh,SATNA,IND,0,12th Pass,900000,0,900000
199,5224,Ajay Rawat,DHAR,BSP,0,12th Pass,64000,0,64000
200,6082,Ajay Shah Makrai,BETUL,INC,0,Post Graduate,47558071,1246200,46311871
201,591,Ajay Singla,CHANDIGARH,IND,2,10th Pass,9877806,0,9877806
202,3623,Ajay Vasant Paithankar,PUNE,IND,0,Graduate,14080500,237000,13843500
203,5501,Ajay Verma,DHAURAHRA,Bharatiya Jan Kranti Dal (Democratic),0,Graduate,1281743,185000,1096743
204,4135,Ajay Verma,RAIPUR,Chhattisgarh Swabhiman Manch,0,Others,38835962,0,38835962
205,1831,Ajaykumar Sarnaik,BAGALKOT,INC,0,Graduate,501321313,100587230,400734083
206,2344,Ajaypal,SIKAR,IND,0,10th Pass,3295920,100000,3195920
207,1650,Ajaypal,BAGHPAT,IND,0,8th Pass,5790000,0,5790000
208,3646,Ajinkya Dhondu Gawade,RATNAGIRI SINDHUDURG,IND,0,Graduate,2058757,243784,1814973
209,5829,Ajit Bhika Pawar,DINDORI,IND,0,Graduate,95500,0,95500
210,637,Ajit Joy,THIRUVANANTHAPURAM,AAP,0,Post Graduate,37145768,3500000,33645768
211,4185,Ajit Kumar Jain (Patwa) Dharti Pakad,INDORE,IND,0,8th Pass,0,0,0
212,3996,Ajit Kumar Singh,HAZARIBAGH,AITC,0,12th Pass,6000000,912823,5087177
213,3079,Ajit Pal Singh,BADAUN,Peace Party,0,Graduate,8900000,0,8900000
214,2797,Ajit Pramod Kumar Jogi,MAHASAMUND,INC,1,Graduate Professional,61583410,1500000,60083410
215,671,Ajit Singh,BAGHPAT,RLD,0,Post Graduate,169254660,0,169254660
216,1964,Ajith Kumar K K,PATHANAMTHITTA,IND,1,Graduate,663000,342000,321000
217,2411,Ajmat Ali,KOTA,Bharatiya Yuva Shakti,0,8th Pass,193438,0,193438
218,2493,Akar Dhoj Limbu,SIKKIM,INC,0,Graduate Professional,5504900,0,5504900
219,4084,Akash Gupta,MORENA,IND,0,Graduate,505042,0,505042
220,3181,Akbar Husain,RAMPUR,BSP,0,10th Pass,62120983,3790727,58330256
221,2077,Akbar Kasmi,GURGAON,Rashtriya Ulama Council,0,Others,1592000,0,1592000
222,3182,Akbar Masood,RAMPUR,IND,0,Post Graduate,2513782,0,2513782
223,1012,Akhei Achumi,NAGALAND,Socialist Party (India),0,Graduate,3122000,0,3122000
224,5240,Akhil Bhartiya Sharma,BANKA,IND,0,Graduate Professional,50000,0,50000
225,2954,Akhilesh,GWALIOR,CPI(M),1,Graduate,184700,0,184700
226,6744,Akhilesh Kumar,UNNAO,CPI(ML) Red Star,0,Literate,236000,0,236000
227,4112,Akhtarul Iman,KISHANGANJ,JD(U),1,Post Graduate,4907533,820788,4086745
228,4696,Aklu Ram Mahto,DHANBAD,SP,0,Post Graduate,1747750,0,1747750
